date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption_index,year,month,quarter,week_number,day_of_week,year_week,is_weekend
2025-05-28,SKU-100000,East,58.0,160.14,0,0,0,0.14,2025,5,2,22,2,2025-W22,0
2024-09-23,SKU-100001,South,14.0,137.74,0,0,0,-2.01,2024,9,3,39,0,2024-W39,0
2024-11-06,SKU-100002,North,48.0,34.64,1,0,0,0.88,2024,11,4,45,2,2024-W45,0
2025-04-26,SKU-100003,North,54.0,157.1,0,0,0,-0.11,2025,4,2,17,5,2025-W17,1
2025-06-07,SKU-100004,West,58.0,80.11,0,0,0,-0.16,2025,6,2,23,5,2025-W23,1
2024-07-21,SKU-100005,East,39.0,83.31,0,1,0,-0.34,2024,7,3,29,6,2024-W29,1
2025-04-13,SKU-100006,South,79.0,44.27,0,0,0,1.78,2025,4,2,15,6,2025-W15,1
2024-12-21,SKU-100007,South,35.0,121.81,1,0,0,0.55,2024,12,4,51,5,2024-W51,1
2024-09-20,SKU-100008,North,44.0,80.2,0,0,0,-0.27,2024,9,3,38,4,2024-W38,0
2024-12-26,SKU-100009,East,19.0,156.98,1,0,0,-0.27,2024,12,4,52,3,2024-W52,0
2025-02-26,SKU-100010,East,27.0,124.24,0,0,1,-0.01,2025,2,1,9,2,2025-W09,0
2025-03-25,SKU-100011,West,63.0,159.96,0,0,0,1.23,2025,3,1,13,1,2025-W13,0
2024-11-26,SKU-100012,South,33.0,33.32,1,0,0,-0.38,2024,11,4,48,1,2024-W48,0
2025-05-20,SKU-100013,North,34.0,178.76,0,0,0,-0.6,2025,5,2,21,1,2025-W21,0
2025-05-11,SKU-100014,North,47.0,176.36,0,0,0,0.31,2025,5,2,19,6,2025-W19,1
2025-06-19,SKU-100015,East,36.0,105.24,0,0,0,-0.8,2025,6,2,25,3,2025-W25,0
2024-10-22,SKU-100016,West,42.0,43.65,0,0,0,2.26,2024,10,4,43,1,2024-W43,0
2025-01-17,SKU-100017,North,60.0,191.16,0,0,0,1.58,2025,1,1,3,4,2025-W03,0
2024-10-27,SKU-100018,South,45.0,44.52,0,0,0,0.12,2024,10,4,43,6,2024-W43,1
2025-03-21,SKU-100019,East,28.0,102.66,0,0,0,-0.92,2025,3,1,12,4,2025-W12,0
2025-06-02,SKU-100020,East,46.0,32.11,0,0,0,1.66,2025,6,2,23,0,2025-W23,0
2024-12-27,SKU-100021,East,55.0,183.52,1,0,1,-1.26,2024,12,4,52,4,2024-W52,0
2024-12-06,SKU-100022,East,33.0,111.65,1,0,0,0.0,2024,12,4,49,4,2024-W49,0
2024-07-01,SKU-100023,West,31.0,106.42,0,1,0,-0.85,2024,7,3,27,0,2024-W27,0
2025-01-15,SKU-100024,East,56.0,93.54,0,0,0,-1.56,2025,1,1,3,2,2025-W03,0
2025-01-14,SKU-100025,North,30.0,189.43,0,0,0,0.08,2025,1,1,3,1,2025-W03,0
2024-09-12,SKU-100026,West,23.0,129.16,0,0,0,1.38,2024,9,3,37,3,2024-W37,0
2024-10-14,SKU-100027,North,29.0,101.87,0,0,0,-1.08,2024,10,4,42,0,2024-W42,0
2024-11-17,SKU-100028,North,68.0,168.03,1,0,0,-1.1,2024,11,4,46,6,2024-W46,1
2025-02-14,SKU-100029,West,46.0,32.66,0,0,0,-1.22,2025,2,1,7,4,2025-W07,0
2024-08-23,SKU-100030,West,31.0,32.39,0,0,0,0.2,2024,8,3,34,4,2024-W34,0
2025-01-24,SKU-100031,East,49.0,122.76,0,0,0,-1.23,2025,1,1,4,4,2025-W04,0
2025-02-02,SKU-100032,North,67.0,155.03,0,0,0,0.48,2025,2,1,5,6,2025-W05,1
2024-08-27,SKU-100033,North,43.0,43.41,0,0,0,1.1,2024,8,3,35,1,2024-W35,0
2025-05-23,SKU-100034,East,64.0,148.03,0,0,0,1.24,2025,5,2,21,4,2025-W21,0
2024-11-24,SKU-100035,North,46.0,192.38,1,0,0,-1.22,2024,11,4,47,6,2024-W47,1
2024-08-14,SKU-100036,East,35.0,175.8,0,0,0,0.31,2024,8,3,33,2,2024-W33,0
2025-05-21,SKU-100037,East,49.0,190.62,0,0,0,-0.6,2025,5,2,21,2,2025-W21,0
2024-09-24,SKU-100038,South,30.0,126.36,0,0,0,-2.01,2024,9,3,39,1,2024-W39,0
2025-03-23,SKU-100039,West,49.0,164.66,0,0,0,0.04,2025,3,1,12,6,2025-W12,1
2025-05-02,SKU-100040,West,59.0,44.7,0,0,0,0.48,2025,5,2,18,4,2025-W18,0
2025-01-12,SKU-100041,East,71.0,188.06,0,0,0,0.59,2025,1,1,2,6,2025-W02,1
2024-10-23,SKU-100042,East,22.0,123.57,0,0,0,2.26,2024,10,4,43,2,2024-W43,0
2024-07-05,SKU-100043,East,33.0,188.31,0,1,0,0.39,2024,7,3,27,4,2024-W27,0
2025-04-27,SKU-100044,East,32.0,83.89,0,0,0,-0.11,2025,4,2,17,6,2025-W17,1
2025-06-10,SKU-100045,East,31.0,132.46,0,0,0,0.31,2025,6,2,24,1,2025-W24,0
2024-09-13,SKU-100046,East,61.0,74.98,0,0,0,-0.94,2024,9,3,37,4,2024-W37,0
2024-12-15,SKU-100047,North,79.0,73.91,1,0,0,-0.87,2024,12,4,50,6,2024-W50,1
2025-01-04,SKU-100048,South,37.0,175.66,0,0,0,0.22,2025,1,1,1,5,2025-W01,1
2025-01-16,SKU-100049,East,40.0,165.47,0,0,0,-1.56,2025,1,1,3,3,2025-W03,0
2025-04-11,SKU-100050,South,23.0,83.52,0,0,0,1.55,2025,4,2,15,4,2025-W15,0
2024-10-05,SKU-100051,North,29.0,197.11,0,0,0,1.31,2024,10,4,40,5,2024-W40,1
2024-10-26,SKU-100052,West,49.0,42.88,0,0,0,0.14,2024,10,4,43,5,2024-W43,1
2024-07-25,SKU-100053,South,30.0,160.14,0,1,1,1.77,2024,7,3,30,3,2024-W30,0
2025-02-07,SKU-100054,North,37.0,157.85,0,0,0,1.67,2025,2,1,6,4,2025-W06,0
2024-12-08,SKU-100055,East,44.0,99.76,1,0,0,0.0,2024,12,4,49,6,2024-W49,1
2024-12-23,SKU-100056,West,43.0,31.34,1,0,0,0.55,2024,12,4,52,0,2024-W52,0
2025-02-25,SKU-100057,South,82.0,80.56,0,0,0,0.42,2025,2,1,9,1,2025-W09,0
2025-06-18,SKU-100058,East,79.0,76.63,0,0,1,0.11,2025,6,2,25,2,2025-W25,0
2025-04-08,SKU-100059,West,28.0,156.91,0,0,0,-1.75,2025,4,2,15,1,2025-W15,0
2025-06-13,SKU-100060,North,64.0,162.26,0,0,0,-1.73,2025,6,2,24,4,2025-W24,0
2024-09-26,SKU-100061,South,20.0,106.61,0,0,0,-0.97,2024,9,3,39,3,2024-W39,0
2024-07-24,SKU-100062,West,39.0,151.7,0,1,0,-0.52,2024,7,3,30,2,2024-W30,0
2024-08-11,SKU-100063,East,50.0,190.02,0,0,0,-0.41,2024,8,3,32,6,2024-W32,1
2024-11-08,SKU-100064,South,21.0,149.51,1,0,0,0.88,2024,11,4,45,4,2024-W45,0
2024-11-02,SKU-100065,North,44.0,154.03,0,0,0,-0.4,2024,11,4,44,5,2024-W44,1
2024-11-22,SKU-100066,West,29.0,84.62,1,0,0,1.54,2024,11,4,47,4,2024-W47,0
2025-06-18,SKU-100067,North,47.0,127.53,0,0,1,0.11,2025,6,2,25,2,2025-W25,0
2024-12-18,SKU-100068,North,50.0,151.56,1,0,0,-1.39,2024,12,4,51,2,2024-W51,0
2024-08-07,SKU-100069,North,21.0,127.85,0,0,0,0.48,2024,8,3,32,2,2024-W32,0
2025-04-15,SKU-100070,West,38.0,134.39,0,0,0,1.78,2025,4,2,16,1,2025-W16,0
2025-02-23,SKU-100071,West,35.0,132.89,0,0,0,-1.41,2025,2,1,8,6,2025-W08,1
2024-12-25,SKU-100072,East,46.0,32.32,1,0,0,-1.28,2024,12,4,52,2,2024-W52,0
2024-09-12,SKU-100073,North,50.0,166.82,0,0,0,-0.27,2024,9,3,37,3,2024-W37,0
2025-06-24,SKU-100074,North,57.0,43.23,0,0,0,0.18,2025,6,2,26,1,2025-W26,0
2024-12-11,SKU-100075,East,48.0,127.24,1,0,0,0.67,2024,12,4,50,2,2024-W50,0
2025-02-22,SKU-100076,West,57.0,41.21,0,0,0,-0.47,2025,2,1,8,5,2025-W08,1
2025-06-04,SKU-100077,South,55.0,44.34,0,0,0,0.52,2025,6,2,23,2,2025-W23,0
2025-05-17,SKU-100078,South,27.0,128.45,0,0,0,0.34,2025,5,2,20,5,2025-W20,1
2024-09-12,SKU-100079,West,35.0,186.01,0,0,0,-0.27,2024,9,3,37,3,2024-W37,0
2025-05-06,SKU-100080,West,43.0,129.1,0,0,0,-0.31,2025,5,2,19,1,2025-W19,0
2025-03-22,SKU-100081,North,24.0,134.08,0,0,0,1.39,2025,3,1,12,5,2025-W12,1
2025-05-10,SKU-100082,North,39.0,153.81,0,0,0,-1.26,2025,5,2,19,5,2025-W19,1
2024-10-10,SKU-100083,North,35.0,146.96,0,0,0,1.67,2024,10,4,41,3,2024-W41,0
2025-06-05,SKU-100084,North,63.0,183.65,0,0,0,1.66,2025,6,2,23,3,2025-W23,0
2025-05-04,SKU-100085,West,27.0,146.65,0,0,0,0.48,2025,5,2,18,6,2025-W18,1
2024-10-07,SKU-100086,South,37.0,190.82,0,0,0,0.67,2024,10,4,41,0,2024-W41,0
2024-11-01,SKU-100087,South,16.0,138.23,0,0,0,-0.95,2024,11,4,44,4,2024-W44,0
2025-02-01,SKU-100088,South,21.0,105.25,0,0,0,0.26,2025,2,1,5,5,2025-W05,1
2024-11-10,SKU-100089,North,48.0,42.96,1,0,0,-0.47,2024,11,4,45,6,2024-W45,1
2024-08-24,SKU-100090,South,47.0,93.96,0,0,0,-0.38,2024,8,3,34,5,2024-W34,1
2025-01-21,SKU-100091,South,44.0,185.58,0,0,0,2.0,2025,1,1,4,1,2025-W04,0
2025-04-17,SKU-100092,South,58.0,97.76,0,0,0,0.86,2025,4,2,16,3,2025-W16,0
2024-10-04,SKU-100093,East,47.0,43.46,0,0,0,-1.79,2024,10,4,40,4,2024-W40,0
2025-06-09,SKU-100094,East,46.0,150.63,0,0,0,0.98,2025,6,2,24,0,2025-W24,0
2024-12-23,SKU-100095,North,48.0,185.41,1,0,0,-0.56,2024,12,4,52,0,2024-W52,0
2025-06-13,SKU-100096,West,54.0,166.3,0,0,0,0.31,2025,6,2,24,4,2025-W24,0
2024-11-26,SKU-100097,South,21.0,109.34,1,0,0,0.37,2024,11,4,48,1,2024-W48,0
2024-09-28,SKU-100098,West,39.0,31.46,0,0,0,-0.97,2024,9,3,39,5,2024-W39,1
