date,sku_id,region,category,units_ordered,transaction_price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption_index,year,month,quarter,week_number,day_of_week,year_week,is_weekend,unit_cost_usd,selling_price_usd,gross_margin_usd,margin_pct,cube_ft,volume_m3,target_service_level,stockout_penalty_usd,holding_cost_daily_usd,home_warehouse_id,home_wh_capacity,home_wh_fixed_cost_usd,home_ship_cost_usd,home_lead_time_days,home_carbon_kg_per_unit,home_lane_efficiency
2025-05-28,SKU-100000,East,ELECTRONICS,58.0,160.14,0,0,0,0.14,2025,5,2,22,2,2025-W22,0,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-09-23,SKU-100001,South,TOYS,14.0,137.74,0,0,0,-2.01,2024,9,3,39,0,2024-W39,0,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-11-06,SKU-100002,North,TOYS,48.0,34.64,1,0,0,0.88,2024,11,4,45,2,2024-W45,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-04-26,SKU-100003,North,BEAUTY,54.0,157.1,0,0,0,-0.11,2025,4,2,17,5,2025-W17,1,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-06-07,SKU-100004,West,ELECTRONICS,58.0,80.11,0,0,0,-0.16,2025,6,2,23,5,2025-W23,1,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-07-21,SKU-100005,East,HOME,39.0,83.31,0,1,0,-0.34,2024,7,3,29,6,2024-W29,1,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-04-13,SKU-100006,South,ELECTRONICS,79.0,44.27,0,0,0,1.78,2025,4,2,15,6,2025-W15,1,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-12-21,SKU-100007,South,KITCHEN,35.0,121.81,1,0,0,0.55,2024,12,4,51,5,2024-W51,1,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-09-20,SKU-100008,North,ELECTRONICS,44.0,80.2,0,0,0,-0.27,2024,9,3,38,4,2024-W38,0,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-12-26,SKU-100009,East,ELECTRONICS,19.0,156.98,1,0,0,-0.27,2024,12,4,52,3,2024-W52,0,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-02-26,SKU-100010,East,PET,27.0,124.24,0,0,1,-0.01,2025,2,1,9,2,2025-W09,0,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-03-25,SKU-100011,West,KITCHEN,63.0,159.96,0,0,0,1.23,2025,3,1,13,1,2025-W13,0,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-11-26,SKU-100012,South,KITCHEN,33.0,33.32,1,0,0,-0.38,2024,11,4,48,1,2024-W48,0,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-05-20,SKU-100013,North,TOYS,34.0,178.76,0,0,0,-0.6,2025,5,2,21,1,2025-W21,0,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-05-11,SKU-100014,North,PET,47.0,176.36,0,0,0,0.31,2025,5,2,19,6,2025-W19,1,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-06-19,SKU-100015,East,ELECTRONICS,36.0,105.24,0,0,0,-0.8,2025,6,2,25,3,2025-W25,0,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-10-22,SKU-100016,West,PET,42.0,43.65,0,0,0,2.26,2024,10,4,43,1,2024-W43,0,119.39,197.26,77.87,0.394758,0.68,0.019256,0.987,394.52,0.081774,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-01-17,SKU-100017,North,HOME,60.0,191.16,0,0,0,1.58,2025,1,1,3,4,2025-W03,0,85.74,189.02,103.28,0.546397,1.49,0.042192,0.954,378.04,0.058726,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-10-27,SKU-100018,South,ELECTRONICS,45.0,44.52,0,0,0,0.12,2024,10,4,43,6,2024-W43,1,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-03-21,SKU-100019,East,TOYS,28.0,102.66,0,0,0,-0.92,2025,3,1,12,4,2025-W12,0,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-06-02,SKU-100020,East,TOYS,46.0,32.11,0,0,0,1.66,2025,6,2,23,0,2025-W23,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-27,SKU-100021,East,BEAUTY,55.0,183.52,1,0,1,-1.26,2024,12,4,52,4,2024-W52,0,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-06,SKU-100022,East,ELECTRONICS,33.0,111.65,1,0,0,0.0,2024,12,4,49,4,2024-W49,0,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-07-01,SKU-100023,West,HOME,31.0,106.42,0,1,0,-0.85,2024,7,3,27,0,2024-W27,0,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-01-15,SKU-100024,East,ELECTRONICS,56.0,93.54,0,0,0,-1.56,2025,1,1,3,2,2025-W03,0,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-01-14,SKU-100025,North,KITCHEN,30.0,189.43,0,0,0,0.08,2025,1,1,3,1,2025-W03,0,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-09-12,SKU-100026,West,ELECTRONICS,23.0,129.16,0,0,0,1.38,2024,9,3,37,3,2024-W37,0,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-10-14,SKU-100027,North,ELECTRONICS,29.0,101.87,0,0,0,-1.08,2024,10,4,42,0,2024-W42,0,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-11-17,SKU-100028,North,PET,68.0,168.03,1,0,0,-1.1,2024,11,4,46,6,2024-W46,1,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-02-14,SKU-100029,West,KITCHEN,46.0,32.66,0,0,0,-1.22,2025,2,1,7,4,2025-W07,0,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-WEST,110000,1680,1.5,1,0.0,1.0
