year_week,region,category,total_units,avg_price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption,year,month,quarter,week_number,week_start,avg_unit_cost_usd,avg_selling_price_usd,avg_cube_ft,avg_gross_margin_usd,avg_margin_pct,avg_holding_cost_daily,avg_stockout_penalty,avg_volume_m3,home_warehouse_id,home_wh_capacity,home_wh_fixed_cost,home_ship_cost,home_lead_time,home_distance_km,home_lane_efficiency,carbon_distance_km,carbon_weight_tonnes,carbon_kg_per_unit,lag_1_week_demand,lag_2_week_demand,lag_4_week_demand,rolling_4wk_mean,rolling_4wk_std,demand_trend,weeks_since_epoch,is_q4,region_demand_rank,category_velocity
2024-W30,East,BEAUTY,47.0,173.34,0,1,1,0.6121428571428572,2024,7,3,30,2024-07-22,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,,,,,,,3,0,3,0.102397
2024-W31,East,BEAUTY,57.0,169.01,0,1,0,-0.042142857142857114,2024,7,3,31,2024-07-29,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,47.0,,,47.0,,,4,0,4,0.087156
2024-W33,East,BEAUTY,47.0,160.46,0,1,0,0.2013095238095238,2024,8,3,33,2024-08-12,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,57.0,47.0,,52.0,7.0710678118654755,,6,0,5,0.056558
2024-W40,East,BEAUTY,95.0,120.815,0,1,1,0.08741496598639453,2024,10,4,40,2024-09-30,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,47.0,57.0,,50.333333333333336,5.773502691896258,,13,1,8,0.050694
2024-W42,East,BEAUTY,35.0,82.87,0,1,1,0.023282312925170034,2024,10,4,42,2024-10-14,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,95.0,47.0,47.0,61.5,22.825424421026653,48.0,15,1,18,0.017233
2024-W43,East,BEAUTY,114.0,133.305,0,1,1,0.23497448979591834,2024,10,4,43,2024-10-21,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,35.0,95.0,57.0,58.5,25.942243542145693,-22.0,16,1,5,0.056632
2024-W46,East,BEAUTY,171.0,87.15666666666668,1,1,0,0.1418820861678005,2024,11,4,46,2024-11-11,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,114.0,35.0,47.0,72.75,37.79219496139381,67.0,19,1,4,0.065118
2024-W47,East,BEAUTY,24.0,85.16,1,1,1,0.23024999999999998,2024,11,4,47,2024-11-18,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,171.0,114.0,95.0,103.75,56.067667450441824,76.0,20,1,21,0.009094
2024-W48,East,BEAUTY,52.0,75.7,1,1,1,0.17051298701298706,2024,11,4,48,2024-11-25,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,24.0,171.0,35.0,86.0,69.4118145563131,-11.0,21,1,17,0.023152
2024-W50,East,BEAUTY,158.0,111.63,1,1,1,0.17953463203463202,2024,12,4,50,2024-12-09,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,52.0,24.0,114.0,90.25,65.66772418776213,-62.0,23,1,6,0.054671
2024-W51,East,BEAUTY,44.0,177.19,1,1,1,0.08586507936507935,2024,12,4,51,2024-12-16,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,158.0,52.0,171.0,101.25,74.1142136615283,-13.0,24,1,20,0.015347
2024-W52,East,BEAUTY,146.0,161.49666666666667,1,1,1,0.1892380952380952,2024,12,4,52,2024-12-23,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,44.0,158.0,24.0,69.5,60.16366566846361,20.0,25,1,9,0.051572
