canonical_warehouse_id,sku_id,starting_inventory_units,inventory_value_usd,daily_holding_cost_usd
WH-CENTRAL,SKU-100002,2006,44773.92,30.6677
WH-CENTRAL,SKU-100009,2079,98794.08,67.6673
WH-CENTRAL,SKU-100010,1953,133370.37,91.3496
WH-CENTRAL,SKU-100013,1586,188892.6,129.378
WH-CENTRAL,SKU-100027,872,41437.44,28.3819
WH-CENTRAL,SKU-100033,2593,140099.79,95.9592
WH-CENTRAL,SKU-100035,1382,118492.68,81.1593
WH-CENTRAL,SKU-100044,2189,210953.93,144.4893
WH-CENTRAL,SKU-100049,2816,335385.6,229.7152
WH-CENTRAL,SKU-100050,2892,112816.92,77.2713
WH-CENTRAL,SKU-100051,1626,87852.78,60.1734
WH-CENTRAL,SKU-100055,2436,36491.28,24.9934
WH-CENTRAL,SKU-100061,1894,76498.66,52.3956
WH-CENTRAL,SKU-100064,2579,176119.91,120.6301
WH-CENTRAL,SKU-100076,510,57364.8,39.2909
WH-CENTRAL,SKU-100077,1372,163103.36,111.7151
WH-CENTRAL,SKU-100082,2102,143545.58,98.3189
WH-CENTRAL,SKU-100094,2483,279287.84,191.2928
WH-CENTRAL,SKU-100096,1960,162444.8,111.2633
WH-CENTRAL,SKU-100109,2935,43966.3,30.1131
WH-CENTRAL,SKU-100114,1602,132773.76,90.9407
WH-CENTRAL,SKU-100117,872,41437.44,28.3819
WH-CENTRAL,SKU-100126,2401,122402.98,83.8381
WH-CENTRAL,SKU-100134,2189,210953.93,144.4893
WH-CENTRAL,SKU-100152,2942,283520.54,194.1926
WH-CENTRAL,SKU-100158,1615,63001.15,43.1512
WH-CENTRAL,SKU-100160,2807,335127.73,229.5396
WH-CENTRAL,SKU-100169,1875,75731.25,51.87
WH-CENTRAL,SKU-100174,661,19869.66,13.6093
WH-CENTRAL,SKU-100178,534,63754.26,43.6673
WH-CENTRAL,SKU-100179,790,67734.6,46.3935
WH-CENTRAL,SKU-100183,2669,165077.65,113.0668
WH-CENTRAL,SKU-100187,2851,115151.89,78.8701
WH-CENTRAL,SKU-100192,898,26993.88,18.4889
WH-CENTRAL,SKU-100196,1232,147088.48,100.7456
WH-CENTRAL,SKU-100200,1494,33346.08,22.8403
WH-CENTRAL,SKU-100202,2646,297622.08,203.8505
WH-CENTRAL,SKU-100204,1602,132773.76,90.9407
WH-CENTRAL,SKU-100206,1224,117956.88,80.7926
WH-CENTRAL,SKU-100208,2832,193397.28,132.464
WH-CENTRAL,SKU-100212,2237,87265.37,59.7704
WH-CENTRAL,SKU-100213,2593,140099.79,95.9592
WH-CENTRAL,SKU-100214,2477,295729.03,202.5542
WH-CENTRAL,SKU-100221,1256,149313.28,102.2698
WH-CENTRAL,SKU-100237,585,36182.25,24.7824
WH-CENTRAL,SKU-100239,1460,173564.8,118.8805
WH-CENTRAL,SKU-100240,2488,206205.44,141.2363
WH-CENTRAL,SKU-100243,920,43718.4,29.9442
WH-CENTRAL,SKU-100248,1615,63001.15,43.1512
WH-CENTRAL,SKU-100250,2807,335127.73,229.5396
WH-CENTRAL,SKU-100257,1372,163103.36,111.7151
WH-CENTRAL,SKU-100267,2448,132265.44,90.5931
WH-CENTRAL,SKU-100269,790,67734.6,46.3935
WH-CENTRAL,SKU-100273,2669,165077.65,113.0668
WH-CENTRAL,SKU-100274,2483,279287.84,191.2928
WH-CENTRAL,SKU-100276,1960,162444.8,111.2633
WH-CENTRAL,SKU-100279,2079,98794.08,67.6673
WH-CENTRAL,SKU-100280,1953,133370.37,91.3496
WH-CENTRAL,SKU-100293,2638,313605.44,214.7992
WH-CENTRAL,SKU-100294,1602,132773.76,90.9407
WH-CENTRAL,SKU-100298,2832,193397.28,132.464
WH-CENTRAL,SKU-100299,2958,114297.12,78.2864
WH-CENTRAL,SKU-100306,2401,122402.98,83.8381
WH-CENTRAL,SKU-100307,2561,38363.78,26.2759
WH-CENTRAL,SKU-100309,2822,174540.7,119.5484
WH-CENTRAL,SKU-100315,965,45856.8,31.4088
WH-CENTRAL,SKU-100316,1842,125790.18,86.1577
WH-CENTRAL,SKU-100319,2816,335385.6,229.7152
WH-CENTRAL,SKU-100328,734,82560.32,56.5481
WH-CENTRAL,SKU-100331,1894,76498.66,52.3956
WH-CENTRAL,SKU-100334,2579,176119.91,120.6301
WH-CENTRAL,SKU-100342,2016,102775.68,70.3947
WH-CENTRAL,SKU-100345,1353,83683.05,57.3171
WH-CENTRAL,SKU-100347,1372,163103.36,111.7151
WH-CENTRAL,SKU-100349,1875,75731.25,51.87
WH-CENTRAL,SKU-100350,1588,153035.56,104.8191
WH-CENTRAL,SKU-100352,2102,143545.58,98.3189
WH-CENTRAL,SKU-100354,661,19869.66,13.6093
WH-CENTRAL,SKU-100355,2627,312875.7,214.2975
WH-CENTRAL,SKU-100361,2210,33105.8,22.6746
WH-CENTRAL,SKU-100371,1068,41267.52,28.2657
WH-CENTRAL,SKU-100372,898,26993.88,18.4889
WH-CENTRAL,SKU-100373,1586,188892.6,129.378
WH-CENTRAL,SKU-100376,1232,147088.48,100.7456
WH-CENTRAL,SKU-100378,822,41905.56,28.7026
WH-CENTRAL,SKU-100385,646,26091.94,17.8709
WH-CENTRAL,SKU-100390,2629,79027.74,54.1285
WH-CENTRAL,SKU-100391,970,115527.0,79.1277
WH-CENTRAL,SKU-100393,2593,140099.79,95.9592
WH-CENTRAL,SKU-100398,2959,66044.88,45.2372
WH-CENTRAL,SKU-100400,1339,150610.72,103.1579
WH-CENTRAL,SKU-100403,2251,90917.89,62.2717
WH-CENTRAL,SKU-100405,965,45856.8,31.4088
WH-CENTRAL,SKU-100406,1842,125790.18,86.1577
WH-CENTRAL,SKU-100409,2816,335385.6,229.7152
WH-CENTRAL,SKU-100412,1950,232810.5,159.4593
WH-CENTRAL,SKU-100414,2624,133771.52,91.6248
WH-CENTRAL,SKU-100416,1537,34305.84,23.4977
WH-CENTRAL,SKU-100418,734,82560.32,56.5481
WH-CENTRAL,SKU-100434,801,17878.32,12.2457
WH-CENTRAL,SKU-100441,2084,99031.68,67.83
WH-CENTRAL,SKU-100449,790,67734.6,46.3935
WH-CENTRAL,SKU-100453,2669,165077.65,113.0668
WH-CENTRAL,SKU-100460,1953,133370.37,91.3496
WH-CENTRAL,SKU-100463,1586,188892.6,129.378
WH-CENTRAL,SKU-100466,1232,147088.48,100.7456
WH-CENTRAL,SKU-100468,822,41905.56,28.7026
WH-CENTRAL,SKU-100469,2935,43966.3,30.1131
WH-CENTRAL,SKU-100477,872,41437.44,28.3819
WH-CENTRAL,SKU-100488,2959,66044.88,45.2372
WH-CENTRAL,SKU-100490,1339,150610.72,103.1579
WH-CENTRAL,SKU-100493,2251,90917.89,62.2717
WH-CENTRAL,SKU-100497,1172,45286.08,31.0182
WH-CENTRAL,SKU-100501,1626,87852.78,60.1734
WH-CENTRAL,SKU-100504,2624,133771.52,91.6248
WH-CENTRAL,SKU-100514,2579,176119.91,120.6301
WH-CENTRAL,SKU-100527,1372,163103.36,111.7151
WH-CENTRAL,SKU-100536,968,37761.68,25.864
WH-CENTRAL,SKU-100539,790,67734.6,46.3935
WH-CENTRAL,SKU-100540,2115,107822.7,73.8516
WH-CENTRAL,SKU-100551,1068,41267.52,28.2657
WH-CENTRAL,SKU-100558,822,41905.56,28.7026
WH-CENTRAL,SKU-100562,2646,297622.08,203.8505
WH-CENTRAL,SKU-100570,2629,79027.74,54.1285
WH-CENTRAL,SKU-100578,2959,66044.88,45.2372
WH-CENTRAL,SKU-100584,2189,210953.93,144.4893
WH-CENTRAL,SKU-100595,2436,36491.28,24.9934
WH-CENTRAL,SKU-100600,2488,206205.44,141.2363
WH-CENTRAL,SKU-100604,2579,176119.91,120.6301
WH-CENTRAL,SKU-100609,862,46573.86,31.9
WH-CENTRAL,SKU-100621,2084,99031.68,67.83
WH-CENTRAL,SKU-100622,2102,143545.58,98.3189
WH-CENTRAL,SKU-100635,1462,173802.56,119.0434
WH-CENTRAL,SKU-100636,1960,162444.8,111.2633
WH-CENTRAL,SKU-100637,2851,115151.89,78.8701
WH-CENTRAL,SKU-100652,2646,297622.08,203.8505
WH-CENTRAL,SKU-100653,2638,313605.44,214.7992
WH-CENTRAL,SKU-100657,872,41437.44,28.3819
WH-CENTRAL,SKU-100660,2629,79027.74,54.1285
WH-CENTRAL,SKU-100671,1256,149313.28,102.2698
WH-CENTRAL,SKU-100672,1131,93737.28,64.2035
WH-CENTRAL,SKU-100679,2816,335385.6,229.7152
WH-CENTRAL,SKU-100690,2488,206205.44,141.2363
WH-CENTRAL,SKU-100694,2579,176119.91,120.6301
