year_week,week_start,region,category,total_units,predicted_units,residual,split
2024-W30,2024-07-22,East,BEAUTY,47.0,48.429039942836,-1.429039942835999,train
2024-W31,2024-07-29,East,BEAUTY,57.0,58.48892882497163,-1.4889288249716301,train
2024-W33,2024-08-12,East,BEAUTY,47.0,47.67086798576364,-0.6708679857636426,train
2024-W40,2024-09-30,East,BEAUTY,95.0,93.14954410401162,1.8504558959883752,train
2024-W42,2024-10-14,East,BEAUTY,35.0,34.968319004237955,0.03168099576204497,train
2024-W43,2024-10-21,East,BEAUTY,114.0,114.38749989590835,-0.38749989590834844,train
2024-W46,2024-11-11,East,BEAUTY,171.0,171.08796921722225,-0.08796921722225193,train
2024-W47,2024-11-18,East,BEAUTY,24.0,24.634527161175654,-0.6345271611756544,train
2024-W48,2024-11-25,East,BEAUTY,52.0,50.35370196447509,1.6462980355249073,train
2024-W50,2024-12-09,East,BEAUTY,158.0,158.49943364046328,-0.4994336404632804,train
2024-W51,2024-12-16,East,BEAUTY,44.0,43.55098663569914,0.4490133643008605,train
2024-W52,2024-12-23,East,BEAUTY,146.0,144.99151536537534,1.008484634624665,train
2025-W01,2024-12-30,East,BEAUTY,58.0,57.506406108119194,0.49359389188080627,train
2025-W03,2025-01-13,East,BEAUTY,132.0,135.3478886508184,-3.3478886508183905,train
2025-W04,2025-01-20,East,BEAUTY,193.0,191.70625901353662,1.2937409864633764,train
2025-W05,2025-01-27,East,BEAUTY,50.0,49.732326970329616,0.26767302967038376,train
2025-W08,2025-02-17,East,BEAUTY,51.0,51.31395356931984,-0.31395356931984253,train
2025-W09,2025-02-24,East,BEAUTY,195.0,196.00942153145093,-1.0094215314509256,train
2025-W10,2025-03-03,East,BEAUTY,81.0,80.70030138845684,0.2996986115431639,train
2025-W11,2025-03-10,East,BEAUTY,35.0,34.755557411307684,0.2444425886923156,train
2025-W12,2025-03-17,East,BEAUTY,114.0,113.66782893907504,0.3321710609249635,train
2025-W13,2025-03-24,East,BEAUTY,43.0,41.879037594126274,1.1209624058737262,train
2025-W14,2025-03-31,East,BEAUTY,46.0,45.04193399561537,0.9580660043846265,train
2025-W15,2025-04-07,East,BEAUTY,60.0,60.468052382581575,-0.46805238258157544,train
2025-W16,2025-04-14,East,BEAUTY,89.0,89.33599928211297,-0.33599928211296515,train
2025-W18,2025-04-28,East,BEAUTY,53.0,54.74302710657698,-1.7430271065769816,train
2025-W19,2025-05-05,East,BEAUTY,109.0,108.26239111091807,0.7376088890819261,train
2025-W20,2025-05-12,East,BEAUTY,82.0,83.66798548227406,-1.6679854822740623,train
2025-W22,2025-05-26,East,BEAUTY,99.0,102.76217199349178,-3.7621719934917763,train
2025-W23,2025-06-02,East,BEAUTY,123.0,122.40514500980446,0.5948549901955431,train
2025-W24,2025-06-09,East,BEAUTY,86.0,86.29526479893597,-0.2952647989359747,train
2025-W25,2025-06-16,East,BEAUTY,36.0,34.65613799553577,1.3438620044642278,train
2025-W26,2025-06-23,East,BEAUTY,127.0020000000004,126.94528859652435,0.05671140347604364,train
2025-W27,2025-06-30,East,BEAUTY,187.0020000000004,188.27891996106678,-1.276919961066369,train
2025-W29,2025-07-14,East,BEAUTY,43.0,42.30200853923068,0.6979914607693232,train
2025-W30,2025-07-21,East,BEAUTY,82.0,84.57370454509481,-2.573704545094813,train
