sku_id,category,unit_cost_usd,selling_price_usd,cube_ft,target_service_level,gross_margin_usd,margin_pct,stockout_penalty_usd,holding_cost_daily_usd,volume_m3
SKU-100000,ELECTRONICS,50.98,190.65,0.55,0.959,139.67,0.732599,381.3,0.034918,0.015574
SKU-100001,TOYS,14.98,175.66,1.79,0.972,160.68,0.914722,351.32,0.01026,0.050687
SKU-100002,TOYS,22.32,198.29,0.86,0.968,175.97,0.887438,396.58,0.015288,0.024353
SKU-100003,BEAUTY,61.85,78.7,0.76,0.931,16.85,0.214104,157.4,0.042363,0.021521
SKU-100004,ELECTRONICS,112.48,134.55,0.33,0.966,22.07,0.164028,269.1,0.077041,0.009345
SKU-100005,HOME,118.88,33.69,0.21,0.975,-85.19,-2.528644,67.38,0.081425,0.005947
SKU-100006,ELECTRONICS,82.88,157.93,0.66,0.952,75.05,0.475211,315.86,0.056767,0.018689
SKU-100007,KITCHEN,40.39,32.87,0.64,0.972,-7.52,-0.22878,65.74,0.027664,0.018123
SKU-100008,ELECTRONICS,96.37,130.18,0.12,0.949,33.81,0.259717,260.36,0.066007,0.003398
SKU-100009,ELECTRONICS,47.52,108.9,0.08,0.975,61.38,0.563636,217.8,0.032548,0.002265
SKU-100010,PET,68.29,97.95,0.38,0.978,29.66,0.302808,195.9,0.046774,0.01076
SKU-100011,KITCHEN,38.64,161.51,0.29,0.933,122.87,0.760758,323.02,0.026466,0.008212
SKU-100012,KITCHEN,30.06,129.52,0.22,0.931,99.46,0.767912,259.04,0.020589,0.00623
SKU-100013,TOYS,119.1,158.8,0.61,0.973,39.7,0.25,317.6,0.081575,0.017273
SKU-100014,PET,39.01,44.01,0.77,0.983,5.0,0.113611,88.02,0.026719,0.021804
SKU-100015,ELECTRONICS,54.03,86.74,0.58,0.976,32.71,0.377104,173.48,0.037007,0.016424
SKU-100016,PET,119.39,197.26,0.68,0.987,77.87,0.394758,394.52,0.081774,0.019256
SKU-100017,HOME,85.74,189.02,1.49,0.954,103.28,0.546397,378.04,0.058726,0.042192
SKU-100018,ELECTRONICS,50.98,190.65,0.55,0.959,139.67,0.732599,381.3,0.034918,0.015574
SKU-100019,TOYS,14.98,175.66,1.79,0.972,160.68,0.914722,351.32,0.01026,0.050687
SKU-100020,TOYS,22.32,198.29,0.86,0.968,175.97,0.887438,396.58,0.015288,0.024353
SKU-100021,BEAUTY,61.85,78.7,0.76,0.931,16.85,0.214104,157.4,0.042363,0.021521
SKU-100022,ELECTRONICS,112.48,134.55,0.33,0.966,22.07,0.164028,269.1,0.077041,0.009345
SKU-100023,HOME,118.88,33.69,0.21,0.975,-85.19,-2.528644,67.38,0.081425,0.005947
SKU-100024,ELECTRONICS,82.88,157.93,0.66,0.952,75.05,0.475211,315.86,0.056767,0.018689
SKU-100025,KITCHEN,40.39,32.87,0.64,0.972,-7.52,-0.22878,65.74,0.027664,0.018123
SKU-100026,ELECTRONICS,96.37,130.18,0.12,0.949,33.81,0.259717,260.36,0.066007,0.003398
SKU-100027,ELECTRONICS,47.52,108.9,0.08,0.975,61.38,0.563636,217.8,0.032548,0.002265
SKU-100028,PET,68.29,97.95,0.38,0.978,29.66,0.302808,195.9,0.046774,0.01076
SKU-100029,KITCHEN,38.64,161.51,0.29,0.933,122.87,0.760758,323.02,0.026466,0.008212
SKU-100030,KITCHEN,30.06,129.52,0.22,0.931,99.46,0.767912,259.04,0.020589,0.00623
SKU-100031,TOYS,119.1,158.8,0.61,0.973,39.7,0.25,317.6,0.081575,0.017273
SKU-100032,PET,39.01,44.01,0.77,0.983,5.0,0.113611,88.02,0.026719,0.021804
