warehouse_id,demand_region,ship_cost_per_unit,lead_time_days,distance_km_proxy,carbon_kg_per_unit,lane_efficiency_score
WH-NORTH,North,1.5,1,100,0.0673,0.98
WH-NORTH,South,4.5,4,450,0.42,0.72
WH-NORTH,East,5.0,4,480,0.45,0.7
WH-NORTH,West,6.5,5,600,0.62,0.62
WH-SOUTH,North,4.5,4,450,0.42,0.72
WH-SOUTH,South,1.5,1,100,0.0673,0.98
WH-SOUTH,East,5.5,5,520,0.51,0.68
WH-SOUTH,West,6.0,5,560,0.58,0.65
WH-EAST,North,5.0,4,480,0.45,0.7
WH-EAST,South,5.5,5,520,0.51,0.68
WH-EAST,East,1.52,1,100,0.0673,0.98
WH-EAST,West,8.0,6,780,0.82,0.55
WH-WEST,North,6.5,5,600,0.62,0.62
WH-WEST,South,6.0,5,560,0.58,0.65
WH-WEST,East,8.0,6,780,0.82,0.55
WH-WEST,West,1.52,1,100,0.0673,0.98
WH-CENTRAL,North,3.5,3,320,0.31,0.8
WH-CENTRAL,South,3.8,3,350,0.34,0.78
WH-CENTRAL,East,4.2,3,400,0.38,0.75
WH-CENTRAL,West,4.0,3,380,0.36,0.76
